,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
102,N/A,N/A,clx,N/A,N/A,N/A,N/A,N/A,871.43,25.09,2.89,138.14,11.63,18.39,15.87,440.28,43.70,16190000000.0,18320000000.0,24.11,3.55,3.22,15.33,3.22,2460000000.0,15.33,634000000.0,5.00,91.10,2.80,383000000.0,2.97,2230000000.0,1.04,0.92,778000000.0,0.50,0.18,75.80,5850000.0,5.42,4.56,6670000.0,N/A
103,N/A,N/A,cma,N/A,N/A,N/A,N/A,N/A,N/A,11.29,2.37,0.81,21.42,32.70,0.79,7.36,14.64,6010000000.0,2170000000.0,9.52,1.63,0.84,N/A,0.84,N/A,N/A,548000000.0,3.01,11.70,5.80,7680000000.0,43.47,3720000000.0,N/A,43.01,737000000.0,1.20,0.71,86.40,4360000.0,1.88,2.46,4139999.9999999995,N/A
104,N/A,N/A,cmcsa,N/A,N/A,N/A,N/A,N/A,89.82,16.82,1.83,2.58,11.12,22.00,6.31,15.49,29.05,1.3113e+11,1.7903e+11,14.89,1.24,2.45,7.30,2.45,47860000000.0,7.30,8120000000.0,3.19,23.00,11.20,2029999999.9999998,0.83,47760000000.0,0.66,21.05,18460000000.0,1.08,0.16,84.60,26630000.0,2.24,1.27,33570000.0,N/A
105,N/A,N/A,cme,N/A,N/A,N/A,N/A,N/A,10.48,22.51,8.68,1.36,37.62,60.05,1.74,5.88,9.99,28480000000.0,29860000000.0,19.77,1.81,8.90,13.31,8.90,2990000000.0,13.31,1260000000.0,3.74,24.10,11.50,1510000000.0,4.46,2240000000.0,1.04,63.48,1640000000.0,0.61,4.48,78.80,5920000.0,3.67,2.11,5460000.0,N/A
106,N/A,N/A,cmg,N/A,N/A,N/A,N/A,N/A,N/A,27.77,3.20,6.10,11.57,18.76,19.91,24.63,147.10,14330000000.0,13680000000.0,35.08,2.20,2.99,13.91,2.99,1120000000.0,13.91,528960000.0,16.76,10.80,12.20,959740000.0,30.77,0.00,4.39,76.99,720870000.0,0.44,1.58,92.40,2550000.0,1.42,9.52,2280000.0,N/A
107,N/A,N/A,cmi,N/A,N/A,N/A,N/A,N/A,20.45,9.02,0.76,1.90,8.65,11.07,8.55,21.75,108.28,14880000000.0,14680000000.0,10.29,1.81,0.76,5.53,0.76,4860000000.0,5.53,1680000000.0,9.34,10.20,5.50,1720000000.0,9.76,1650000000.0,2.23,43.88,2009999999.9999998,1.23,0.21,84.70,9090000.0,2.61,5.43,9840000.0,N/A
108,N/A,N/A,cms,N/A,N/A,N/A,N/A,N/A,223.99,19.32,1.52,2.62,7.65,17.76,3.94,13.47,24.38,9960000000.0,19180000000.0,17.89,2.89,2.86,10.17,2.86,2089999999.9999998,10.17,513000000.0,1.86,57.40,3.90,150000000.0,0.54,8820000000.0,1.19,14.08,1900000000.0,0.28,0.91,90.00,7260000.0,3.37,2.65,8410000.0,N/A
109,N/A,N/A,cnp,N/A,N/A,N/A,N/A,N/A,213.14,N/A,0.95,1.86,0.09,11.65,2.65,0.16,18.52,7270000000.0,15070000000.0,15.23,41.28,1.89,8.01,1.89,2340000000.0,8.01,7000000.0,0.02,N/A,9.80,1110000000.0,2.58,8650000000.0,0.75,9.43,1790000000.0,0.50,0.40,75.90,14470000.0,2.39,3.57,12110000.0,N/A
110,N/A,N/A,cnx,N/A,N/A,N/A,N/A,N/A,76.40,N/A,0.40,0.25,11.32,12.76,2.04,6.41,12.77,1160000000.0,4830000000.0,N/A,1.20,1.65,4.89,1.65,1500000000.0,4.89,331620000.0,1.45,N/A,25.10,83020000.0,0.36,3730000000.0,0.52,20.66,490890000.0,1.26,34.71,84.70,56530000.0,5.10,33.30,54130000.0,N/A
111,N/A,N/A,cof,N/A,N/A,N/A,N/A,N/A,N/A,8.44,1.79,0.71,22.00,35.77,1.33,8.89,34.27,32330000000.0,68120000000.0,7.82,1.95,3.63,N/A,3.63,N/A,N/A,3940000000.0,7.20,3.10,3.50,8750000000.0,16.18,43250000000.0,N/A,88.21,10610000000.0,1.18,0.52,91.70,7680000.0,2.89,1.40,7750000.0,N/A
112,N/A,N/A,cog,N/A,N/A,N/A,N/A,N/A,96.01,N/A,4.53,3.20,14.97,30.10,5.00,10.01,3.63,7100000000.0,8830000000.0,N/A,3.95,5.89,9.14,5.89,1650000000.0,9.14,224540000.0,0.55,N/A,34.60,8770000.0,0.02,2040000000.0,0.81,5.13,878140000.0,0.67,1.67,103.90,20030000.0,2.27,4.92,18120000.0,N/A
113,N/A,N/A,coh,N/A,N/A,N/A,N/A,N/A,36.01,22.96,2.07,3.50,9.08,17.17,10.91,15.46,15.14,8730000000.0,8260000000.0,14.84,1.93,1.98,8.97,1.98,2910000000.0,8.97,379700000.0,1.37,19.10,0.80,1280000000.0,4.60,890600000.0,3.13,8.91,806500000.0,0.67,0.12,93.60,16230000.0,3.48,5.85,16379999.999999998,N/A
114,N/A,N/A,col,N/A,N/A,N/A,N/A,N/A,113.19,16.56,2.15,6.02,13.08,19.22,8.72,36.83,39.64,11150000000.0,13130000000.0,14.37,1.72,2.50,10.96,2.50,1610000000.0,10.96,694000000.0,5.13,10.20,1.30,252000000.0,1.92,2130000000.0,1.51,14.22,735000000.0,0.61,0.45,0.20,5440000.0,9.38,4.16,5370000.0,N/A
115,N/A,N/A,cop,N/A,N/A,N/A,N/A,N/A,55.87,N/A,1.26,1.02,2.85,2.84,0.56,1.91,28.80,42900000000.0,67420000000.0,N/A,1.66,1.89,7.66,1.89,21520000000.0,7.66,1020000000.0,0.83,N/A,42.00,2410000000.0,1.95,24890000000.0,1.17,35.81,8950000000.0,1.03,0.02,65.80,40920000.0,4.07,3.32,36980000.0,N/A
116,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,55.29,27.87,0.57,6.10,2.03,3.11,6.46,20.22,265.29,65450000000.0,66020000000.0,23.93,3.34,0.57,13.85,0.57,15130000000.0,13.85,2360000000.0,5.34,3.20,1.30,6280000000.0,14.29,6130000000.0,1.03,24.67,3970000000.0,0.79,0.79,73.50,6020000.0,2.40,1.38,6680000.0,N/A
