,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
159,N/A,N/A,ipg,N/A,N/A,N/A,N/A,N/A,82.70,17.42,1.16,4.73,6.60,11.12,4.56,23.56,18.56,8570000000.0,10210000000.0,15.98,2.08,1.34,10.15,1.34,7540000000.0,10.15,503200000.0,1.21,16.50,1.30,881200000.0,2.17,1750000000.0,1.01,4.59,794800000.0,1.69,0.56,97.40,10500000.0,3.42,2.55,10860000.0,N/A
160,N/A,N/A,ir,N/A,N/A,N/A,N/A,N/A,78.87,19.15,1.00,2.30,5.20,11.03,5.25,11.29,49.74,12770000000.0,17120000000.0,12.23,1.66,1.30,9.68,1.30,3910000000.0,9.68,666700000.0,2.55,3.30,3.00,651500000.0,2.50,4570000000.0,1.22,21.96,728600000.0,1.43,0.32,86.30,1660000.0,0.83,0.63,1840000.0,N/A
161,N/A,N/A,irm,N/A,N/A,N/A,N/A,N/A,834.86,40.00,1.73,8.63,4.30,17.88,5.09,24.27,14.53,5190000000.0,9920000000.0,11.11,1.21,3.27,11.00,3.27,1770000000.0,11.00,129560000.0,0.61,915.20,4.60,492900000.0,2.33,5170000000.0,1.35,2.88,491190000.0,1.00,4.63,101.40,18810000.0,13.96,11.96,19070000.0,N/A
162,N/A,N/A,itw,N/A,N/A,N/A,N/A,N/A,153.48,16.12,2.18,5.84,13.93,21.09,10.23,29.63,36.50,29570000000.0,34500000000.0,14.92,2.08,2.53,10.30,2.53,5810000000.0,10.30,1910000000.0,5.05,3.80,9.20,3000000000.0,8.26,7810000000.0,2.56,13.99,2050000000.0,1.10,0.98,77.40,7220000.0,4.59,2.45,8240000.0,N/A
163,N/A,N/A,ivz,N/A,N/A,N/A,N/A,N/A,81.47,11.77,2.37,1.51,20.08,27.01,3.87,10.87,11.93,11960000000.0,17170000000.0,10.77,1.51,3.33,11.56,3.33,5150000000.0,11.56,1040000000.0,2.40,2.60,2.90,2410000000.0,5.68,7360000000.0,6.77,19.09,738600000.0,1.50,1.32,85.60,4870000.0,1.32,1.15,3500000.0,N/A
164,N/A,N/A,jbl,N/A,N/A,N/A,N/A,N/A,90.23,10.61,0.19,1.51,1.85,3.49,4.24,15.16,96.20,3550000000.0,4650000000.0,6.51,0.60,0.25,3.82,0.25,1500000000.0,3.82,351560000.0,1.76,82.80,14.50,1130000000.0,5.93,2170000000.0,1.09,12.50,1200000000.0,0.46,8.71,99.00,12150000.0,4.30,6.55,11310000.0,N/A
165,N/A,N/A,jci,N/A,N/A,N/A,N/A,N/A,61.49,14.65,0.60,2.17,4.20,5.99,4.45,13.78,56.75,22470000000.0,28500000000.0,8.20,0.85,0.77,9.23,0.77,6450000000.0,9.23,1440000000.0,2.37,12.90,12.10,603000000.0,0.93,6610000000.0,1.06,16.03,1600000000.0,1.67,0.28,80.30,7230000.0,1.93,1.12,7430000.0,N/A
166,N/A,N/A,jec,N/A,N/A,N/A,N/A,N/A,13.72,15.32,0.37,1.05,2.50,3.68,3.43,7.42,96.91,4530000000.0,4600000000.0,10.75,1.72,0.38,7.76,0.38,1970000000.0,7.76,302970000.0,2.40,65.30,3.20,460860000.0,3.76,597800000.0,1.66,34.85,484570000.0,1.49,2.12,94.10,3620000.0,3.56,3.00,3890000.0,N/A
167,N/A,N/A,jnj,N/A,N/A,N/A,N/A,N/A,27.86,18.37,3.83,3.77,20.87,26.73,8.88,19.87,25.37,2.6493e+11,2.5241e+11,14.96,3.34,3.58,11.19,3.58,51580000000.0,11.19,14720000000.0,5.21,29.30,7.40,37310000000.0,13.48,19940000000.0,2.51,25.86,18560000000.0,0.99,0.02,67.30,28570000.0,3.84,1.03,28510000.0,N/A
168,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,199.50,13.21,0.59,6.08,4.72,8.65,8.65,36.67,75.46,8480000000.0,10470000000.0,12.81,2.81,0.73,5.84,0.73,5100000000.0,5.84,675000000.0,3.49,43.00,6.00,821000000.0,4.47,2810000000.0,1.22,7.59,2450000000.0,0.85,26.42,56.60,26000000.0,6.75,18.58,20580000.0,N/A
