,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
59,2004-08-16 22:53:27,1092722007.0,ace,0.26,39.1,0.0,1064.800049,0.0,0.0,underperform
60,2004-10-10 11:27:42,1097432862.0,ace,0.26,41.04,4.96163682864,1130.650024,6.18425732248,-1.22262049383,underperform
61,2005-01-13 13:27:29,1105651649.0,ace,0.21,42.76,9.36061381074,1190.25,11.7815500777,-2.42093626693,underperform
62,2007-04-05 15:54:06,1175813646.0,ace,0.171,57.24,46.3938618926,1424.550049,33.7856858983,12.6081759943,outperform
63,2011-08-11 20:49:00,1313120940.0,ace,27.7,63.42,62.199488491,1119.459961,5.13334987647,57.0661386146,outperform
64,2013-05-16 15:08:57,1368742137.0,ace,27.94,92.58,136.777493606,1633.77002,53.4344426012,83.343051005,outperform
65,2003-12-15 23:12:24,1071558744.0,aci,1.074,30.78,0.0,1074.140015,0.0,0.0,underperform
66,2005-01-24 04:33:07,1106569987.0,aci,1.18,34.52,12.1507472385,1167.869995,8.72604862412,3.42469861435,outperform
67,2005-02-05 03:36:51,1107603411.0,aci,1.18,38.4,24.7563352827,1193.189941,11.0832781888,13.6730570938,outperform
68,2007-03-11 21:41:07,1173674467.0,aci,0.86,30.08,-2.27420402859,1401.890015,30.5127818928,-32.7869859214,underperform
69,2007-04-07 18:52:27,1175997147.0,aci,0.86,33.93,10.2339181287,1439.369995,34.0020830525,-23.7681649238,underperform
70,2008-03-02 17:50:27,1204509027.0,aci,0.851,51.09,65.9844054581,1367.680054,27.3279120879,38.6564933702,outperform
71,2008-06-05 02:23:56,1212657836.0,aci,0.899,67.52,119.363222872,1385.670044,29.0027393682,90.3604835038,outperform
72,2008-12-05 05:35:57,1228484157.0,aci,0.767,11.93,-61.241065627,848.809998,-20.9777136922,-40.2633519348,underperform
73,2011-08-18 01:16:41,1313655401.0,aci,118.77,19.7,-35.9974009097,1204.48999,12.1352871301,-48.1326880398,underperform
74,2012-07-26 21:31:10,1343363470.0,aci,113.56,5.26,-82.9109811566,1350.52002,25.7303518294,-108.641332986,underperform
75,2012-11-04 10:32:06,1352053926.0,aci,144.73,8.26,-73.1643924626,1427.589966,32.9053890614,-106.069781524,underperform
76,2013-04-25 06:05:53,1366895153.0,aci,179.32,4.76,-84.5354126056,1562.5,45.4652073454,-130.000619951,underperform
77,2003-11-08 10:24:47,1068315887.0,acn,0.076,25.05,0.0,1051.810059,0.0,0.0,underperform
78,2004-12-10 06:26:24,1102688784.0,acn,0.023,26.2,4.59081836327,1177.069946,11.9089835592,-7.3181651959,underperform
79,2005-02-10 03:10:56,1108033856.0,acn,0.023,25.51,1.83632734531,1201.719971,14.2525649681,-12.4162376228,underperform
80,2005-04-04 05:07:40,1112616460.0,acn,0.023,24.44,-2.43512974052,1172.920044,11.5144349461,-13.9495646866,underperform
81,2005-09-04 02:06:58,1125824818.0,acn,0.04,25.31,1.0379241517,1221.589966,16.1416888484,-15.1037646967,underperform
82,2006-06-03 23:44:14,1149403454.0,acn,0.045,27.89,11.3373253493,1270.089966,20.7527875525,-9.41546220319,underperform
83,2006-08-27 03:22:58,1156674178.0,acn,0.034,28.36,13.2135728543,1296.060059,23.2218733706,-10.0083005163,underperform
84,2006-11-02 16:40:55,1162514455.0,acn,0.027,32.96,31.5768463074,1377.930054,31.0055976561,0.571248651278,outperform
85,2006-11-11 01:01:42,1163235702.0,acn,0.027,33.87,35.2095808383,1385.719971,31.7462177836,3.46336305472,outperform
86,2006-12-03 00:17:12,1165133832.0,acn,0.027,33.81,34.9700598802,1400.630005,33.1637773394,1.80628254086,outperform
87,2007-05-05 07:47:14,1178376434.0,acn,0.015,39.1,56.0878243513,1495.920044,42.2234015733,13.864422778,outperform
88,2007-07-06 07:06:36,1183730796.0,acn,0.015,42.81,70.8982035928,1524.869995,44.9757950071,25.9224085857,outperform
89,2008-04-07 01:42:51,1207557771.0,acn,0.004,36.77,46.7864271457,1370.400024,30.2896860772,16.4967410685,outperform
90,2008-10-18 23:21:07,1224397267.0,acn,0.003,31.4,25.3493013972,907.840027,-13.6878356285,39.0371370257,outperform
91,2008-12-21 20:10:46,1229919046.0,acn,0.001,32.21,28.5828343313,885.280029,-15.8327093923,44.4155437236,outperform
92,2011-09-01 16:51:37,1314921097.0,acn,0.11,53.62,114.051896208,1210.079956,15.0473838547,99.0045123529,outperform
93,2012-11-04 02:11:28,1352023888.0,acn,0.0,67.91,171.097804391,1427.589966,35.7269740658,135.370830325,outperform
94,2013-05-10 03:17:29,1368181049.0,acn,0.0,80.09,219.720558882,1625.959961,54.5868426611,165.133716221,outperform
95,2013-05-12 08:27:29,1368372449.0,act,177.28,119.86,0.0,1626.670044,0.0,0.0,underperform
96,2004-01-25 05:32:05,1075037525.0,adbe,0.0,38.04,0.0,1143.939941,0.0,0.0,underperform
97,2004-08-21 23:10:00,1093155000.0,adbe,0.0,46.09,21.1619348055,1095.170044,-4.26332670554,25.425261511,outperform
98,2004-11-12 17:19:37,1100308777.0,adbe,0.0,58.1,52.7339642482,1164.079956,1.76058325076,50.9733809974,outperform
